id,player_name,season,age,team,pos,games,games_started,mpg,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
48,Andre Iguodala,2011-12,28,PHI,SF,62,62,35.6,4.6,10.2,.454,1.2,.394,3.4,7.1,.481,.514,2.0,3.2,.617,0.9,5.2,6.1,5.5,1.7,0.5,1.9,1.5,12.4
49,Andre Iguodala,2012-13,29,DEN,SG,80,80,34.7,5.0,11.0,.451,1.1,.317,3.8,7.4,.515,.502,1.9,3.4,.574,1.0,4.3,5.3,5.4,1.7,0.7,2.6,1.6,13.0
50,Andre Iguodala,2013-14,30,GSW,SF,63,63,32.4,3.5,7.3,.480,1.0,.354,2.5,4.5,.558,.548,1.4,2.1,.652,0.8,3.8,4.7,4.2,1.5,0.3,1.6,1.6,9.3
51,Andre Iguodala,2014-15,31,GSW,SF,77,0,26.9,3.0,6.4,.466,1.0,.349,2.0,3.7,.553,.540,0.9,1.5,.596,0.6,2.8,3.3,3.0,1.2,0.3,1.1,1.3,7.8
52,Andre Iguodala,2015-16,32,GSW,SF,65,1,26.6,2.7,5.7,.478,0.8,.351,1.9,3.3,.570,.552,0.8,1.3,.614,0.8,3.2,4.0,3.4,1.1,0.3,1.2,1.6,7.0
53,Andre Iguodala,2016-17,33,GSW,SF,76,0,26.3,2.9,5.5,.528,0.8,.362,2.0,3.1,.651,.605,0.9,1.3,.706,0.7,3.3,4.0,3.4,1.0,0.5,0.8,1.3,7.6
54,Andre Iguodala,2017-18,34,GSW,SF,63,7,25.4,2.3,5.0,.465,0.5,.292,1.8,3.2,.562,.518,0.9,1.4,.632,0.8,3.1,3.9,3.3,0.9,0.6,1.1,1.5,6.0
55,Shaun Livingston,2004-05,19,LAC,PG,30,15,27.1,3.0,7.2,.414,0.0,.000,3.0,7.1,.418,.414,1.5,2.0,.746,0.7,2.2,3.0,5.0,1.1,0.4,2.5,2.7,7.4
56,Shaun Livingston,2005-06,20,LAC,PG,61,14,25.0,2.4,5.7,.427,0.0,.125,2.4,5.6,.434,.428,0.9,1.3,.688,0.7,2.3,3.0,4.5,0.8,0.5,1.8,2.6,5.8
57,Shaun Livingston,2006-07,21,LAC,PG,54,31,29.8,3.9,8.3,.463,0.1,.313,3.8,8.0,.469,.469,1.5,2.1,.707,1.0,2.4,3.4,5.1,1.1,0.5,2.0,2.5,9.3
58,Shaun Livingston,2008-09,23,TOT,PG,12,1,19.3,2.6,5.0,.517,0.0,,2.6,5.0,.517,.517,0.8,0.8,.900,0.3,2.1,2.3,1.7,0.6,0.2,0.8,1.0,5.9
59,Shaun Livingston,2009-10,24,TOT,PG,36,18,22.1,2.9,5.6,.517,0.0,.000,2.9,5.4,.533,.517,1.2,1.3,.875,0.4,1.7,2.2,3.6,0.5,0.3,1.6,1.7,6.9
60,Shaun Livingston,2010-11,25,CHA,PG,73,0,17.3,2.5,5.4,.466,0.0,.250,2.5,5.4,.468,.467,1.5,1.7,.864,0.4,1.6,2.0,2.2,0.6,0.4,1.2,1.5,6.6
61,Shaun Livingston,2011-12,26,MIL,SG,58,27,18.8,2.2,4.7,.469,0.0,.667,2.2,4.6,.466,.472,1.1,1.4,.785,0.7,1.4,2.1,2.1,0.5,0.3,1.1,1.4,5.5
62,Shaun Livingston,2012-13,27,TOT,PG,66,16,22.0,2.5,5.2,.480,0.0,.000,2.5,5.2,.485,.480,1.3,1.5,.867,0.5,1.9,2.4,3.3,0.7,0.5,1.2,1.9,6.3
63,Shaun Livingston,2013-14,28,BRK,PG,76,54,26.0,3.1,6.4,.483,0.0,.167,3.1,6.3,.486,.484,2.1,2.5,.827,0.9,2.4,3.2,3.2,1.2,0.4,1.4,2.3,8.3
64,Shaun Livingston,2014-15,29,GSW,PG,78,2,18.8,2.5,5.1,.500,0.0,.000,2.5,5.1,.503,.500,0.8,1.2,.714,0.6,1.8,2.3,3.3,0.6,0.3,1.3,1.4,5.9
65,Shaun Livingston,2015-16,30,GSW,PG,78,3,19.5,2.6,4.9,.536,0.0,.167,2.6,4.7,.548,.538,1.0,1.2,.860,0.5,1.6,2.2,3.0,0.7,0.3,1.0,1.8,6.3
66,Shaun Livingston,2016-17,31,GSW,PG,76,3,17.7,2.3,4.2,.547,0.0,.333,2.3,4.1,.550,.549,0.6,0.8,.700,0.4,1.6,2.0,1.8,0.5,0.3,0.8,1.6,5.1
67,Shaun Livingston,2017-18,32,GSW,PG,69,7,15.9,2.4,4.8,.506,0.0,.000,2.4,4.7,.512,.506,0.7,0.9,.814,0.5,1.4,1.8,2.0,0.5,0.3,0.8,1.7,5.5
68,Nick Young,2007-08,22,WAS,SG,75,2,15.4,2.8,6.4,.439,0.5,.400,2.3,5.0,.450,.481,1.3,1.7,.815,0.3,1.2,1.5,0.8,0.5,0.1,1.3,1.7,7.5
69,Nick Young,2008-09,23,WAS,SG,82,5,22.4,4.1,9.2,.444,0.7,.341,3.4,7.2,.473,.481,2.0,2.4,.850,0.4,1.5,1.8,1.2,0.5,0.2,1.1,1.7,10.9
70,Nick Young,2009-10,24,WAS,SG,74,23,19.2,3.1,7.5,.418,0.9,.406,2.2,5.2,.423,.479,1.4,1.8,.800,0.3,1.1,1.4,0.6,0.4,0.1,0.8,2.0,8.6
71,Nick Young,2010-11,25,WAS,SG,64,40,31.8,6.4,14.6,.441,1.6,.387,4.8,10.4,.462,.497,2.9,3.6,.816,0.4,2.3,2.7,1.2,0.7,0.3,1.4,2.3,17.4
72,Nick Young,2011-12,26,TOT,SG,62,35,27.9,5.1,12.6,.403,1.7,.365,3.4,8.1,.424,.469,2.3,2.7,.852,0.5,1.6,2.1,0.9,0.7,0.3,1.3,2.3,14.2
73,Nick Young,2012-13,27,PHI,SG,59,17,23.9,3.8,9.2,.413,1.3,.357,2.5,5.6,.449,.482,1.8,2.2,.820,0.4,1.8,2.2,1.4,0.6,0.2,0.8,1.4,10.6
74,Nick Young,2013-14,28,LAL,SG,64,9,28.3,6.0,13.9,.435,2.1,.386,3.9,8.4,.468,.511,3.7,4.5,.825,0.5,2.1,2.6,1.5,0.7,0.2,1.5,2.4,17.9
75,Nick Young,2014-15,29,LAL,SG,42,0,23.8,4.1,11.3,.366,2.0,.369,2.2,6.0,.363,.453,3.1,3.5,.892,0.4,1.9,2.3,1.0,0.5,0.3,1.0,2.0,13.4
76,Nick Young,2015-16,30,LAL,SG,54,2,19.1,2.3,6.9,.339,1.4,.325,0.9,2.5,.363,.442,1.2,1.4,.829,0.3,1.5,1.8,0.6,0.4,0.1,0.6,0.9,7.3
77,Nick Young,2016-17,31,LAL,SG,60,60,25.9,4.5,10.6,.430,2.8,.404,1.7,3.5,.481,.564,1.3,1.5,.856,0.4,1.9,2.3,1.0,0.6,0.2,0.6,2.3,13.2
78,Nick Young,2017-18,32,GSW,SG,77,8,17.2,2.5,6.2,.411,1.5,.373,1.0,2.0,.487,.536,0.7,0.8,.855,0.2,1.3,1.5,0.4,0.5,0.1,0.5,1.2,7.3
79,Zaza Pachulia,2003-04,19,ORL,C,59,2,11.3,1.2,3.0,.389,0.0,,1.2,3.0,.389,.389,1.0,1.5,.644,1.2,1.8,2.9,0.2,0.4,0.2,0.6,1.5,3.3
80,Zaza Pachulia,2004-05,20,MIL,C,74,4,18.9,2.2,4.8,.452,0.0,.000,2.2,4.8,.453,.452,1.9,2.5,.746,1.8,3.3,5.1,0.8,0.6,0.5,0.9,2.2,6.2
81,Zaza Pachulia,2005-06,21,ATL,C,78,78,31.4,3.9,8.7,.451,0.0,.000,3.9,8.7,.452,.451,3.8,5.2,.735,3.4,4.5,7.9,1.7,1.1,0.5,2.3,3.7,11.7
82,Zaza Pachulia,2006-07,22,ATL,C,72,47,28.1,4.0,8.5,.474,0.0,.000,4.0,8.5,.475,.474,4.1,5.2,.786,2.8,4.2,6.9,1.5,1.1,0.5,2.3,3.7,12.2
83,Zaza Pachulia,2007-08,23,ATL,C,62,5,15.2,1.7,4.0,.437,0.0,.000,1.7,3.9,.442,.437,1.7,2.5,.706,1.4,2.6,4.0,0.6,0.4,0.2,1.1,2.3,5.2
84,Zaza Pachulia,2008-09,24,ATL,C,77,26,19.1,2.1,4.2,.497,0.0,.000,2.1,4.1,.502,.497,2.1,3.0,.709,2.2,3.4,5.7,0.7,0.5,0.3,1.2,2.7,6.2
85,Zaza Pachulia,2009-10,25,ATL,C,78,1,14.0,1.5,3.2,.488,0.0,.000,1.5,3.1,.496,.488,1.2,1.8,.650,1.5,2.3,3.8,0.5,0.5,0.4,0.7,2.4,4.3
86,Zaza Pachulia,2010-11,26,ATL,C,79,7,15.7,1.4,2.9,.461,0.0,,1.4,2.9,.461,.461,1.7,2.3,.754,1.5,2.7,4.2,0.7,0.4,0.3,0.9,2.3,4.4
87,Zaza Pachulia,2011-12,27,ATL,C,58,44,28.3,2.9,5.8,.499,0.0,,2.9,5.8,.499,.499,2.0,2.7,.741,2.7,5.2,7.9,1.4,0.9,0.5,1.4,3.0,7.8
88,Zaza Pachulia,2012-13,28,ATL,C,52,15,21.8,2.2,4.6,.473,0.0,.000,2.2,4.6,.479,.473,1.5,2.0,.757,2.5,3.9,6.5,1.5,0.7,0.2,1.3,2.5,5.9
89,Zaza Pachulia,2013-14,29,MIL,C,53,43,25.0,2.8,6.6,.427,0.0,.000,2.8,6.6,.428,.427,2.1,2.5,.846,2.7,3.6,6.3,2.6,0.8,0.3,1.7,2.3,7.7
90,Zaza Pachulia,2014-15,30,MIL,C,73,45,23.7,3.3,7.2,.454,0.0,.000,3.3,7.2,.456,.454,1.7,2.2,.788,2.7,4.2,6.8,2.4,1.1,0.3,1.8,2.3,8.3
91,Zaza Pachulia,2015-16,31,DAL,C,76,69,26.4,2.9,6.2,.466,0.0,.000,2.9,6.1,.469,.466,2.8,3.6,.768,3.3,6.2,9.4,1.7,0.8,0.3,1.6,2.4,8.6
92,Zaza Pachulia,2016-17,32,GSW,C,70,70,18.1,2.3,4.4,.534,0.0,.000,2.3,4.4,.538,.534,1.4,1.8,.778,2.0,3.9,5.9,1.9,0.8,0.5,1.2,2.4,6.1
