"Nov 20, 2009", GSW vs POR,2,19,Made,66-58
"Nov 20, 2009", GSW vs POR,2,16,Missed,79-71
"Nov 20, 2009", GSW vs POR,2,7,Missed,96-83
"Nov 24, 2009", GSW at DAL,3,25,Missed,3-6
"Nov 24, 2009", GSW at DAL,2,12,Made,14-15
"Nov 24, 2009", GSW at DAL,2,0,Made,32-30
"Nov 24, 2009", GSW at DAL,2,17,Missed,36-36
"Nov 24, 2009", GSW at DAL,3,25,Made,44-40
"Nov 24, 2009", GSW at DAL,2,19,Missed,46-43
"Nov 24, 2009", GSW at DAL,3,23,Missed,46-45
"Nov 24, 2009", GSW at DAL,2,18,Missed,73-77
"Nov 24, 2009", GSW at DAL,2,0,Missed,96-98
"Nov 24, 2009", GSW at DAL,2,19,Made,98-98
"Nov 24, 2009", GSW at DAL,3,24,Made,103-100
"Nov 24, 2009", GSW at DAL,2,9,Made,107-103
"Nov 25, 2009", GSW at SAS,3,25,Made,5-3
"Nov 25, 2009", GSW at SAS,3,27,Missed,5-7
"Nov 25, 2009", GSW at SAS,2,16,Missed,10-11
"Nov 25, 2009", GSW at SAS,2,17,Missed,16-17
"Nov 25, 2009", GSW at SAS,2,4,Missed,53-50
"Nov 25, 2009", GSW at SAS,3,22,Missed,55-52
"Nov 25, 2009", GSW at SAS,2,16,Missed,57-58
"Nov 25, 2009", GSW at SAS,2,7,Missed,60-62
"Nov 25, 2009", GSW at SAS,2,2,Made,62-62
"Nov 25, 2009", GSW at SAS,2,16,Missed,62-62
"Nov 25, 2009", GSW at SAS,2,19,Made,70-67
"Nov 25, 2009", GSW at SAS,2,16,Missed,70-71
"Nov 25, 2009", GSW at SAS,2,21,Made,98-110
"Nov 25, 2009", GSW at SAS,2,2,Missed,100-112
"Nov 25, 2009", GSW at SAS,2,16,Made,104-116
"Nov 25, 2009", GSW at SAS,3,26,Missed,104-116
"Nov 28, 2009", GSW vs LAL,2,18,Made,7-9
"Nov 28, 2009", GSW vs LAL,2,15,Missed,16-23
"Nov 28, 2009", GSW vs LAL,3,26,Missed,25-42
"Nov 28, 2009", GSW vs LAL,3,27,Made,30-44
"Nov 28, 2009", GSW vs LAL,2,6,Made,32-47
"Nov 28, 2009", GSW vs LAL,3,23,Missed,35-50
"Nov 28, 2009", GSW vs LAL,2,16,Made,37-52
"Nov 28, 2009", GSW vs LAL,2,18,Missed,37-52
"Nov 28, 2009", GSW vs LAL,2,12,Missed,50-60
"Nov 28, 2009", GSW vs LAL,3,23,Missed,62-78
"Nov 28, 2009", GSW vs LAL,3,27,Missed,68-87
"Nov 28, 2009", GSW vs LAL,2,19,Missed,81-108
"Nov 28, 2009", GSW vs LAL,2,5,Missed,83-109
"Nov 28, 2009", GSW vs LAL,2,5,Missed,85-118
"Nov 28, 2009", GSW vs LAL,2,17,Made,95-123
"Nov 30, 2009", GSW vs IND,2,6,Missed,2-0
"Nov 30, 2009", GSW vs IND,2,19,Missed,9-11
"Nov 30, 2009", GSW vs IND,3,26,Missed,51-60
"Nov 30, 2009", GSW vs IND,2,21,Made,121-105
"Nov 30, 2009", GSW vs IND,3,27,Made,126-107
"Dec 1, 2009", GSW at DEN,3,25,Missed,2-4
"Dec 1, 2009", GSW at DEN,2,18,Missed,6-6
"Dec 1, 2009", GSW at DEN,2,21,Made,8-6
"Dec 1, 2009", GSW at DEN,3,25,Missed,33-31
