Stephen Curry,season,age,team,pos,games,games_started,mpg,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
0,2009-10,21,GSW,PG,80,77,36.2,6.6,14.3,.462,2.1,.437,4.5,9.5,.474,.535,2.2,2.5,.885,0.6,3.9,4.5,5.9,1.9,0.2,3.0,3.2,17.5
1,2010-11,22,GSW,PG,74,74,33.6,6.8,14.2,.480,2.0,.442,4.8,9.6,.498,.551,2.9,3.1,.934,0.7,3.2,3.9,5.8,1.5,0.3,3.1,3.1,18.6
2,2011-12,23,GSW,PG,26,23,28.2,5.6,11.4,.490,2.1,.455,3.5,6.7,.514,.583,1.5,1.8,.809,0.6,2.8,3.4,5.3,1.5,0.3,2.5,2.4,14.7
3,2012-13,24,GSW,PG,78,78,38.2,8.0,17.8,.451,3.5,.453,4.5,10.1,.449,.549,3.4,3.7,.900,0.8,3.3,4.0,6.9,1.6,0.2,3.1,2.5,22.9
4,2013-14,25,GSW,PG,78,78,36.5,8.4,17.7,.471,3.3,.424,5.0,9.8,.509,.566,3.9,4.5,.885,0.6,3.7,4.3,8.5,1.6,0.2,3.8,2.5,24.0
5,2014-15,26,GSW,PG,80,80,32.7,8.2,16.8,.487,3.6,.443,4.6,8.7,.528,.594,3.9,4.2,.914,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8
6,2015-16,27,GSW,PG,79,79,34.2,10.2,20.2,.504,5.1,.454,5.1,9.0,.566,.630,4.6,5.1,.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1
7,2016-17,28,GSW,PG,79,79,33.4,8.5,18.3,.468,4.1,.411,4.4,8.3,.537,.580,4.1,4.6,.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3
8,2017-18,29,GSW,PG,51,51,32.0,8.4,16.9,.495,4.2,.423,4.2,7.1,.595,.618,5.5,5.9,.921,0.7,4.4,5.1,6.1,1.6,0.2,3.0,2.2,26.4
