season,age,team,pos,games,games_started,mpg,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
2011-12,21,GSW,SG,66,29,24.4,4.8,10.9,.443,1.7,.414,3.1,6.8,.460,.520,1.2,1.4,.868,0.4,2.1,2.4,2.0,0.7,0.3,1.6,2.3,12.5
2012-13,22,GSW,SG,82,82,35.8,6.2,14.7,.422,2.6,.401,3.6,8.3,.437,.509,1.6,1.9,.841,0.4,3.3,3.7,2.2,1.0,0.5,1.9,2.9,16.6
2013-14,23,GSW,SG,81,81,35.4,6.9,15.5,.444,2.8,.417,4.1,8.9,.464,.533,1.8,2.3,.795,0.5,2.6,3.1,2.2,0.9,0.5,1.7,2.9,18.4
2014-15,24,GSW,SG,77,77,31.9,7.8,16.9,.463,3.1,.439,4.7,9.8,.481,.555,2.9,3.3,.879,0.4,2.9,3.2,2.9,1.1,0.8,1.9,1.6,21.7
2015-16,25,GSW,SG,80,80,33.3,8.1,17.3,.470,3.5,.425,4.7,9.2,.510,.569,2.4,2.8,.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1
2016-17,26,GSW,SG,78,78,34.0,8.3,17.6,.468,3.4,.414,4.8,9.3,.516,.565,2.4,2.8,.853,0.6,3.0,3.7,2.1,0.8,0.5,1.6,1.8,22.3
2017-18,27,GSW,SG,69,69,34.3,7.8,15.9,.491,3.1,.439,4.7,8.9,.532,.588,1.1,1.4,.832,0.4,3.4,3.8,2.6,0.8,0.5,1.8,1.7,19.9
